epoch	accuracy	loss	val_accuracy	val_loss
0	0.6294999718666077	1.4833810329437256	0.75	0.8490371108055115
1	0.8381666541099548	0.5504725575447083	0.763519823551178	0.7789177894592285
2	0.9057499766349792	0.35998475551605225	0.7701631784439087	0.7607199549674988
3	0.9459166526794434	0.24934521317481995	0.7755244970321655	0.7558286190032959
4	0.9701666831970215	0.17985059320926666	0.777039647102356	0.753631055355072
5	0.9829999804496765	0.13385264575481415	0.7772727012634277	0.7557455897331238
6	0.9891666769981384	0.10232413560152054	0.7793706059455872	0.7615973949432373
7	0.9928333163261414	0.08013512194156647	0.7797203063964844	0.7706645131111145
8	0.9944999814033508	0.06404529511928558	0.7794871926307678	0.7822134494781494
9	0.9961666464805603	0.05221196636557579	0.7779720425605774	0.7950649261474609
10	0.996833324432373	0.043417781591415405	0.7785547971725464	0.80875164270401
11	0.997083306312561	0.03679036349058151	0.7783216834068298	0.8230575323104858
12	0.997083306312561	0.03169792890548706	0.777039647102356	0.8376989364624023
13	0.9973333477973938	0.02771323174238205	0.7761072516441345	0.8523769974708557
14	0.9974166750907898	0.024551767855882645	0.7766900062561035	0.8669711351394653
15	0.9974166750907898	0.022017285227775574	0.7763403058052063	0.8813784718513489
16	0.9973333477973938	0.01997332274913788	0.775874137878418	0.8956369757652283
17	0.9972500205039978	0.018316425383090973	0.7768065333366394	0.9098799824714661
18	0.9973333477973938	0.016969431191682816	0.7769230604171753	0.9242727160453796
19	0.9973333477973938	0.015866080299019814	0.7778554558753967	0.9390238523483276
20	0.9973333477973938	0.01496129110455513	0.7772727012634277	0.9543705582618713
21	0.9973333477973938	0.01422000490128994	0.7771561741828918	0.9704796075820923
22	0.9973333477973938	0.013611974194645882	0.7773892879486084	0.9873639941215515
23	0.9973333477973938	0.013109340332448483	0.7771561741828918	1.0048528909683228
24	0.9973333477973938	0.012687923386693	0.7762237787246704	1.0227758884429932
25	0.9973333477973938	0.012333960272371769	0.7759906649589539	1.04099702835083
26	0.9973333477973938	0.01204733643680811	0.7754079103469849	1.0593359470367432
27	0.9973333477973938	0.01182393915951252	0.77470862865448	1.077726125717163
28	0.9973333477973938	0.011653969995677471	0.77470862865448	1.0961724519729614
29	0.9973333477973938	0.011524074710905552	0.772960364818573	1.1146413087844849
